,분류,제목,날짜,주소,,,,,,,,,
623,AI학부 공지사항,2023년 8월 졸업예정자 졸업작품 심사 안내,2023-05-25,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=448508&page=2&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
624,AI학부 공지사항,2023년 메타버스 아카데미 2기(경북) 수시모집 홍보 안내..,2023-05-24,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=448342&page=2&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
625,AI학부 공지사항,2023년 제2회 『k-ium 의료 인공지능 경진대회』 안내..,2023-05-23,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=448167&page=2&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
626,AI학부 공지사항,"2024학년도 신입학모집 학과 홍보를 위한 ""재학생 인터뷰 영상"" 시..",2023-05-15,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=446770&page=2&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
627,AI학부 공지사항,2023 대구국제청소년스포츠축제 통역요원 모집 안내..,2023-05-15,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=446761&page=2&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
628,AI학부 공지사항,[대학혁신] 2023학년도 DU-교양교육과정 모니터링단 선발 안내..,2023-05-15,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=446758&page=2&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
629,AI학부 공지사항,2023학년도 제1학기 캡스톤디자인 경진대회 안내,2023-05-15,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=446756&page=2&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
630,AI학부 공지사항,2023년 데이터 청년 캠퍼스 교육생 모집 안내,2023-05-10,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=445965&page=2&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
631,AI학부 공지사항,"공학교육혁신센터, 캡스톤 디자인 과제 지원 참여자 모집 안내..",2023-05-08,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=445625&page=2&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
632,AI학부 공지사항,2023년 서울시생성 AI 해커톤 모집 안내,2023-05-04,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=445359&page=2&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
