,분류,제목,날짜,주소,,,,,,,,,
649,AI학부 공지사항,[대학혁신]2023-1학기 학습 챌린지 3UP 안내,2023-03-20,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=439164&page=4&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
650,AI학부 공지사항,[대학혁신]2023-1학기 아하! 공부법 운영 안내,2023-03-17,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=438966&page=4&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
651,AI학부 공지사항,[대학혁신]2023-1학기 DU 학습법 특강 안내,2023-03-17,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=438960&page=4&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
652,AI학부 공지사항,[대학일자리플러스센터] JOB그레잇! IT기업 온라인 집중탐방 프로그..,2023-03-13,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=438163&page=4&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
653,AI학부 공지사항,[대학혁신] 2023학년도 1학기 영어클리닉 실시 안내..,2023-03-13,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=438161&page=4&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
654,AI학부 공지사항,2023학년도 장애 재학생 장애등록 신청 안내,2023-03-10,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=438045&page=4&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
655,AI학부 공지사항,조기 취업자의 취업유고결석 인정 기준 강화에 따른 안내..,2023-03-09,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=437800&page=4&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
656,AI학부 공지사항,[대학혁신]2023학년도 DU 학습지기 CTL 서포터즈 운영 안내..,2023-03-07,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=437529&page=4&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
657,AI학부 공지사항,2023학년도 1학기 수강포기 실시 안내,2023-03-07,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=437521&page=4&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
658,AI학부 공지사항,2023학년도 제1학기 조기졸업 신청 안내,2023-03-03,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=436939&page=4&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
659,AI학부 공지사항,2023학년도 봄학기 외국어특강 개강 안내,2023-03-03,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=436875&page=4&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
660,AI학부 공지사항,[대학혁신]2023-1학기 Learning SIG+ 운영 안내,2023-03-03,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=436874&page=4&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
661,AI학부 공지사항,2023학년도 1학기 사물함 신청 안내,2023-03-02,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=436683&page=4&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
662,AI학부 공지사항,2023-1학기 수강변경(정정) 및 수강허가서 신청 안내..,2023-02-27,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=436572&page=4&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
663,AI학부 공지사항,2023학년도 1학기 공통교양 영어교과목 이수면제 신청 안내..,2023-02-27,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=436570&page=5&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
664,AI학부 공지사항,2023-1학기 유고결석 처리 안내,2023-02-27,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=436540&page=5&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
665,AI학부 공지사항,2023학년도 제1학기 캡스톤디자인 과제 지원사업 안내..,2023-02-27,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=436539&page=5&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
666,AI학부 공지사항,2023-1학기 국내학점교류(대구가톨릭대학교) 신청 안내..,2023-02-22,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=436330&page=5&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
667,AI학부 공지사항,2022학년도 전기(2023.2월 졸업) 학위수여자 대상 진로취업카드 작..,2023-02-16,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=436132&page=5&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
668,AI학부 공지사항,2023학년도 1학기 대학(원) 재학생 등록 안내,2023-02-16,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=436125&page=5&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
669,AI학부 공지사항,2022학년도 전기 학위수여식 안내,2023-02-13,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=435951&page=5&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
670,AI학부 공지사항,2023학년도 1학기 학기제 국내현장실습 실시 안내,2023-02-10,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=435931&page=5&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
671,AI학부 공지사항,Vivado를 활용한 FPGA 설계 교육 안내,2023-02-08,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=435818&page=5&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
672,AI학부 공지사항,2023년도 2월 공인어학시험 모의시험 실시 안내,2023-02-03,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=435668&page=5&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
