,class,title,date,url
104,수업학적,2023학년도 2학기 공통교양 영어교과목 이수 면제 신 ...,2023-08-23,https://daegu.ac.kr/article/DG159/detail/637270
105,도서관,2023년 2학기 도서관 개인사물함 신청 공지,2023-08-22,https://daegu.ac.kr/article/DG159/detail/637262
106,장학,[국가근로] 2023-2학기 1차 선발 국가근로장학생 ...,2023-08-22,https://daegu.ac.kr/article/DG159/detail/637261
107,수업학적,[LINC3.0] 2023학년도 교육성과확산프로그램 공 ...,2023-08-22,https://daegu.ac.kr/article/DG159/detail/637255
108,학생모집,2023-2학기 영어클리닉 프로그램 신청 안내,2023-08-21,https://daegu.ac.kr/article/DG159/detail/637240
109,수업학적,"[K-MOOC] 2023학년도 2학기 강좌 ""수강안내""",2023-08-21,https://daegu.ac.kr/article/DG159/detail/637238
110,도서관,2023년 8월 베스트셀러 목록,2023-08-21,https://daegu.ac.kr/article/DG159/detail/637230
111,수업학적,"[교육생모집] 고용노동부 승인, 코딩, AI 관련 교육 ...",2023-08-17,https://daegu.ac.kr/article/DG159/detail/637207
112,학생모집,[현장실습] 2023학년도 2학기 학기제 국내현장실습 ...,2023-08-17,https://daegu.ac.kr/article/DG159/detail/637198
113,학생모집,[국내현장실습] 2023년도 경북신용보증재단 2학기 학 ...,2023-08-17,https://daegu.ac.kr/article/DG159/detail/637196
114,도서관,창파도서관 세미나실1(1층) 에어컨 작업 공지,2023-08-16,https://daegu.ac.kr/article/DG159/detail/637178
115,수업학적,수강신청 시 불법 매크로 사용 금지 안내,2023-08-14,https://daegu.ac.kr/article/DG159/detail/637168
116,도서관,광복절 및 부서연수로 인한 도서관 휴관 안내,2023-08-14,https://daegu.ac.kr/article/DG159/detail/637160
117,행정안내,(경찰청)모방범죄 예방 관련 카드뉴스 게시,2023-08-14,https://daegu.ac.kr/article/DG159/detail/637152
118,수업학적,[학위수여]2022학년도 후기 학위수여식 안내,2023-08-14,https://daegu.ac.kr/article/DG159/detail/637150
