,class,title,date,url
25,AI학부 공지사항,ICT COG ACADEMY 인공지능 기본과정 수강생 모집 안내,23/06/23,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=451741&page=2&menu=page&menu_id=1011&search_field=&search_key=&search_cate=
26,AI학부 공지사항,위성영상을 활용한 정유탱크·컨테이너 탐지 AI 경진대회..,23/06/22,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=451642&page=2&menu=page&menu_id=1011&search_field=&search_key=&search_cate=
27,AI학부 공지사항,42경산 라피신(La piscine) 대비 사전 SW교육과정,23/06/21,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=451545&page=2&menu=page&menu_id=1011&search_field=&search_key=&search_cate=
28,AI학부 공지사항,2023년 라이드(LAIDD) 멘토링 프로젝트 교육생 모집 안내..,23/06/21,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=451532&page=2&menu=page&menu_id=1011&search_field=&search_key=&search_cate=
29,AI학부 공지사항,2022학년도 후기(2023.8.) 졸업예정자 대상 주요 학사일정 안내..,23/06/08,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=450045&page=2&menu=page&menu_id=1011&search_field=&search_key=&search_cate=
30,AI학부 공지사항,42경산 이노베이션 아카데미 준비강좌 교육생 모집 안내..,23/06/08,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=450036&page=2&menu=page&menu_id=1011&search_field=&search_key=&search_cate=
31,AI학부 공지사항,2023년 지질자원데이터 활용 및 인공지능 경진대회 안내..,23/05/30,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=448880&page=2&menu=page&menu_id=1011&search_field=&search_key=&search_cate=
32,AI학부 공지사항,2023년 8월 졸업예정자 졸업작품 심사 안내,23/05/25,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=448508&page=2&menu=page&menu_id=1011&search_field=&search_key=&search_cate=
33,AI학부 공지사항,2023년 메타버스 아카데미 2기(경북) 수시모집 홍보 안내..,23/05/24,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=448342&page=3&menu=page&menu_id=1011&search_field=&search_key=&search_cate=
34,AI학부 공지사항,2023년 제2회 『k-ium 의료 인공지능 경진대회』 안내..,23/05/23,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=448167&page=3&menu=page&menu_id=1011&search_field=&search_key=&search_cate=
35,AI학부 공지사항,"2024학년도 신입학모집 학과 홍보를 위한 ""재학생 인터뷰 영상"" 시..",23/05/15,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=446770&page=3&menu=page&menu_id=1011&search_field=&search_key=&search_cate=
36,AI학부 공지사항,2023 대구국제청소년스포츠축제 통역요원 모집 안내..,23/05/15,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=446761&page=3&menu=page&menu_id=1011&search_field=&search_key=&search_cate=
37,AI학부 공지사항,[대학혁신] 2023학년도 DU-교양교육과정 모니터링단 선발 안내..,23/05/15,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=446758&page=3&menu=page&menu_id=1011&search_field=&search_key=&search_cate=
38,AI학부 공지사항,2023학년도 제1학기 캡스톤디자인 경진대회 안내,23/05/15,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=446756&page=3&menu=page&menu_id=1011&search_field=&search_key=&search_cate=
39,AI학부 공지사항,2023년 데이터 청년 캠퍼스 교육생 모집 안내,23/05/10,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=445965&page=3&menu=page&menu_id=1011&search_field=&search_key=&search_cate=
40,AI학부 공지사항,"공학교육혁신센터, 캡스톤 디자인 과제 지원 참여자 모집 안내..",23/05/08,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=445625&page=3&menu=page&menu_id=1011&search_field=&search_key=&search_cate=
41,AI학부 공지사항,2023년 서울시생성 AI 해커톤 모집 안내,23/05/04,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=445359&page=3&menu=page&menu_id=1011&search_field=&search_key=&search_cate=
42,AI학부 공지사항,2023학년도 1학기 형제·자매 장학금 신청 안내,23/05/02,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=444717&page=3&menu=page&menu_id=1011&search_field=&search_key=&search_cate=
43,AI학부 공지사항,[대학혁신] 2023학년도 DU BSM e-class(기초수학) 프로그램 운영 안..,23/04/27,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=444025&page=3&menu=page&menu_id=1011&search_field=&search_key=&search_cate=
44,AI학부 공지사항,[대학혁신] 2023 All in Care 상담 관련 부서 연합박람회 개최 안내..,23/04/27,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=444020&page=3&menu=page&menu_id=1011&search_field=&search_key=&search_cate=
45,AI학부 공지사항,"인공지능팩토리 주관, 제5회 2023 연구개발특구 AI SPARK 챌린지..",23/04/20,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=443260&page=3&menu=page&menu_id=1011&search_field=&search_key=&search_cate=
46,AI학부 공지사항,동북권(대구) 메타버스 아카데미 2기 모집,23/04/14,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=442641&page=3&menu=page&menu_id=1011&search_field=&search_key=&search_cate=
47,AI학부 공지사항,[국제처] 하계방학 해외단기연수 프로그램 홍보 안내..,23/04/12,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=442199&page=3&menu=page&menu_id=1011&search_field=&search_key=&search_cate=
48,AI학부 공지사항,[대학혁신] 2023학년도 1학기 학생설계전공 개발 공모 신청 안내..,23/04/11,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=442105&page=4&menu=page&menu_id=1011&search_field=&search_key=&search_cate=
